Rank,Player,HALF,PPR,Position
1,Puka Nacua,71,74,WR
2,Malik Nabers,66,69,WR
3,Amon-Ra St. Brown,62,65,WR
4,Jaxon Smith-Njigba,58,61,WR
5,Justin Jefferson,57,60,WR
6,Ja'Marr Chase,55,57,WR
7,Nico Collins,55,57,WR
8,CeeDee Lamb,55,57,WR
9,Rome Odunze,48,50,WR
10,Garrett Wilson,47,49,WR
11,Drake London,43,46,WR
12,A.J. Brown,44,46,WR
13,Davante Adams,43,45,WR
14,Tetairoa McMillan,42,45,WR
15,Emeka Egbuka,40,42,WR
16,Zay Flowers,38,41,WR
17,Rashee Rice,37,39,WR
18,Brian Thomas Jr.,35,37,WR
19,Ladd McConkey,33,36,WR
20,Tyreek Hill,30,32,WR
21,Courtland Sutton,29,31,WR
22,George Pickens,28,30,WR
23,Ricky Pearsall,28,30,WR
24,DK Metcalf,28,30,WR
25,Mike Evans,28,30,WR
26,Marvin Harrison Jr.,27,29,WR
27,Keenan Allen,26,28,WR
28,Jakobi Meyers,26,28,WR
29,Deebo Samuel Sr.,26,28,WR
30,DeVonta Smith,26,28,WR
31,Terry McLaurin,26,27,WR
32,Quentin Johnston,24,26,WR
33,Jameson Williams,24,26,WR
34,Tee Higgins,24,26,WR
35,DJ Moore,24,26,WR
36,Michael Pittman Jr.,24,26,WR
37,Chris Olave,24,26,WR
38,Jauan Jennings,23,25,WR
39,Jaylen Waddle,23,25,WR
40,Jordan Addison,22,24,WR
41,Xavier Worthy,21,23,WR
42,Keon Coleman,21,23,WR
43,Matthew Golden,21,23,WR
44,Calvin Ridley,21,23,WR
45,Jerry Jeudy,20,22,WR
46,Cedric Tillman,20,22,WR
47,Elic Ayomanor,19,21,WR
48,Khalil Shakir,18,20,WR
49,Wan'Dale Robinson,17,19,WR
50,Chris Godwin Jr.,17,19,WR
51,Stefon Diggs,17,19,WR
52,Travis Hunter,17,19,WR
53,Darnell Mooney,16,18,WR
54,Rashid Shaheed,16,17,WR
55,Luther Burden III,16,17,WR
56,Tre Tucker,16,17,WR
57,Troy Franklin,16,17,WR
58,Romeo Doubs,14,16,WR
59,Josh Downs,13,15,WR
60,Cooper Kupp,12,14,WR
61,Christian Kirk,12,14,WR
62,Kayshon Boutte,12,14,WR
63,Brandon Aiyuk,12,14,WR
64,Tory Horton,12,14,WR
65,Jalen Coker,12,13,WR
66,Jayden Reed,12,13,WR
67,Marquise Brown,10,11,WR
68,Calvin Austin III,10,11,WR
69,Joshua Palmer,9,10,WR
70,DeAndre Hopkins,9,10,WR
71,Rashod Bateman,9,10,WR
72,KaVontae Turpin,9,10,WR
73,Tyquan Thornton,9,10,WR
74,Marvin Mims Jr.,8,9,WR
75,Dontayvion Wicks,8,9,WR
76,Isaac TeSlaa,8,9,WR
77,Jayden Higgins,7,8,WR
78,Dont'e Thornton Jr.,7,8,WR
79,Malik Washington,7,8,WR
80,Sterling Shepard,7,8,WR
81,Jalen Tolbert,7,8,WR
82,Dyami Brown,5,6,WR
83,Alec Pierce,5,6,WR
84,DeMario Douglas,5,6,WR
85,Tre Harris,5,6,WR
86,Parker Washington,5,6,WR
87,Luke McCaffrey,4,5,WR
88,Michael Wilson,4,5,WR
89,Olamide Zaccheaus,4,5,WR
90,Isaiah Bond,4,5,WR
