Rank,Player,HALF,PPR,Position
1,Bijan Robinson,74,76,RB
2,Christian McCaffrey,73,75,RB
3,Jonathan Taylor,71,73,RB
4,Jahmyr Gibbs,69,71,RB
5,Saquon Barkley,68,69,RB
6,James Cook III,59,61,RB
7,Derrick Henry,59,60,RB
8,Josh Jacobs,56,58,RB
9,De'Von Achane,55,57,RB
10,Bucky Irving,54,56,RB
11,Omarion Hampton,48,50,RB
12,Kyren Williams,45,47,RB
13,Kenneth Walker III,44,46,RB
14,Travis Etienne Jr.,41,43,RB
15,Ashton Jeanty,40,42,RB
16,Breece Hall,39,41,RB
17,Chuba Hubbard,36,38,RB
18,Jordan Mason,34,35,RB
19,Alvin Kamara,33,35,RB
20,Javonte Williams,32,34,RB
21,Trey Benson,31,33,RB
22,J.K. Dobbins,30,32,RB
23,Cam Skattebo,30,32,RB
24,Chase Brown,30,32,RB
25,David Montgomery,28,30,RB
26,Jaylen Warren,27,29,RB
27,Quinshon Judkins,27,28,RB
28,Tony Pollard,26,28,RB
29,D'Andre Swift,26,28,RB
30,TreVeyon Henderson,24,26,RB
31,Jacory Croskey-Merritt,23,24,RB
32,RJ Harvey,22,24,RB
33,Nick Chubb,22,23,RB
34,Rhamondre Stevenson,21,23,RB
35,Zach Charbonnet,22,23,RB
36,Bhayshul Tuten,22,23,RB
37,Aaron Jones Sr.,20,22,RB
38,Blake Corum,17,19,RB
39,Tyler Allgeier,16,17,RB
40,Brian Robinson Jr.,16,17,RB
41,Isiah Pacheco,16,17,RB
42,Braelon Allen,14,16,RB
43,Rachaad White,14,16,RB
44,Tyjae Spears,14,15,RB
45,Ray Davis,14,15,RB
46,Ollie Gordon II,14,15,RB
47,Woody Marks,14,15,RB
48,Dylan Sampson,13,14,RB
49,Kareem Hunt,13,14,RB
50,Chris Rodriguez Jr.,12,14,RB
51,Kyle Monangai,12,13,RB
52,Rico Dowdle,12,13,RB
53,DJ Giddens,12,13,RB
54,Tank Bigsby,12,13,RB
55,Tyrone Tracy Jr.,12,13,RB
56,Kendre Miller,12,13,RB
57,Kaleb Johnson,11,12,RB
58,Kenneth Gainwell,10,11,RB
59,Emari Demercado,9,10,RB
60,Jeremy McNichols,9,10,RB
61,Jerome Ford,9,10,RB
62,Jaydon Blue,8,9,RB
63,Miles Sanders,8,9,RB
64,Will Shipley,8,9,RB
65,Ty Johnson,8,9,RB
66,Brashard Smith,8,9,RB
67,Zamir White,7,8,RB
68,Tahj Brooks,7,8,RB
69,Sean Tucker,7,8,RB
70,Chris Brooks,7,8,RB
71,Jarquez Hunter,6,7,RB
72,Dameon Pierce,5,6,RB
73,Justice Hill,5,6,RB
74,MarShawn Lloyd,5,6,RB
75,Devin Singletary,5,6,RB
76,Zavier Scott,5,6,RB
77,Keaton Mitchell,4,5,RB
78,Isaac Guerendo,4,5,RB
79,A.J. Dillon,4,5,RB
80,Roschon Johnson,3,4,RB
81,LeQuint Allen Jr.,3,4,RB
82,Isaiah Davis,2,3,RB
83,Emanuel Wilson,2,3,RB
84,Jaylen Wright,1,2,RB
85,Antonio Gibson,1,2,RB
86,Kimani Vidal,1,2,RB
87,Trevor Etienne,1,1,RB
88,Tyler Badie,1,1,RB
89,Cam Akers,1,1,RB
90,Hassan Haskins,1,1,RB
